mcdi_wordforms_raw,gender,age,mcdi_wordforms_inter_ptile_within,mcdi_wordforms_inter_ptile_both
0,F,27,<5,5
1,F,27,10,15
2,F,27,12.5,20
3,F,27,20,22.5
4,F,27,22.5,30
5,F,27,25,32.5
6,F,27,30,35
7,F,27,32.5,40
8,F,27,40,45
9,F,27,45,55
10,F,27,50,60
11,F,27,55,62.5
12,F,27,65,65
13,F,27,67.5,70
14,F,27,70,75
15,F,27,75,80
16,F,27,77.5,82.5
17,F,27,80,85
18,F,27,82.5,86.667
19,F,27,85,88.333
20,F,27,87.5,90
21,F,27,90,92.5
22,F,27,91.667,95
23,F,27,93.333,96.667
24,F,27,95,98.333
25,F,27,99,99
0,F,28,<5,5
1,F,28,5,7.5
2,F,28,10,15
3,F,28,12.5,17.5
4,F,28,15,20
5,F,28,20,22.5
6,F,28,22.5,25
7,F,28,25,30
8,F,28,27.5,35
9,F,28,30,40
10,F,28,32.5,42.5
11,F,28,40,55
12,F,28,45,57.5
13,F,28,50,60
14,F,28,55,62.5
15,F,28,65,70
16,F,28,70,75
17,F,28,75,80
18,F,28,77.5,82.5
19,F,28,80,85
20,F,28,85,87.5
21,F,28,87.5,90
22,F,28,90,92.5
23,F,28,92.5,95
24,F,28,95,97.5
25,F,28,99,99
0,F,29,<5,5
1,F,29,<5,6.667
2,F,29,5,8.333
3,F,29,10,10
4,F,29,11.25,15
5,F,29,12.5,17.5
6,F,29,13.75,20
7,F,29,15,21.667
8,F,29,20,23.333
9,F,29,21.667,25
10,F,29,23.333,30
11,F,29,25,35
12,F,29,27.5,37.5
13,F,29,30,40
14,F,29,40,55
15,F,29,50,60
16,F,29,55,62.5
17,F,29,65,75
18,F,29,70,77.5
19,F,29,75,80
20,F,29,77.5,82.5
21,F,29,85,85
22,F,29,87.5,87.5
23,F,29,90,90
24,F,29,92.5,95
25,F,29,99,99
9999,M,16,9999,9999
9999,M,17,9999,9999
9999,M,18,9999,9999
9999,M,19,9999,9999
9999,M,20,9999,9999
9999,M,21,9999,9999
9999,M,22,9999,9999
9999,M,23,9999,9999
9999,M,24,9999,9999
9999,M,25,9999,9999
9999,M,26,9999,9999
9999,M,27,9999,9999
9999,M,28,9999,9999
9999,M,29,9999,9999
9999,F,16,9999,9999
9999,F,17,9999,9999
9999,F,18,9999,9999
9999,F,19,9999,9999
9999,F,20,9999,9999
9999,F,21,9999,9999
9999,F,22,9999,9999
9999,F,23,9999,9999
9999,F,24,9999,9999
9999,F,25,9999,9999
9999,F,26,9999,9999
9999,F,27,9999,9999
9999,F,28,9999,9999
9999,F,29,9999,9999
