mcdi_tgestures_raw,gender,age,mcdi_tgestures_inter_ptile
38,M,7,>99
39,M,7,>99
40,M,7,>99
41,M,7,>99
42,M,7,>99
43,M,7,>99
44,M,7,>99
45,M,7,>99
46,M,7,>99
47,M,7,>99
48,M,7,>99
49,M,7,>99
50,M,7,>99
51,M,7,>99
52,M,7,>99
53,M,7,>99
54,M,7,>99
55,M,7,>99
56,M,7,>99
57,M,7,>99
58,M,7,>99
59,M,7,>99
60,M,7,>99
61,M,7,>99
62,M,7,>99
63,M,7,>99
0,M,8,<5
1,M,8,<5
2,M,8,5
3,M,8,6.667
4,M,8,8.333
5,M,8,15
6,M,8,25
7,M,8,30
8,M,8,40
9,M,8,50
10,M,8,60
11,M,8,65
12,M,8,70
13,M,8,75
14,M,8,80
15,M,8,82.5
16,M,8,85
17,M,8,86.667
18,M,8,88.333
19,M,8,90
20,M,8,91.667
21,M,8,93.333
22,M,8,95
23,M,8,97.5
24,M,8,99
25,M,8,>99
26,M,8,>99
27,M,8,>99
28,M,8,>99
29,M,8,>99
30,M,8,>99
31,M,8,>99
32,M,8,>99
33,M,8,>99
34,M,8,>99
35,M,8,>99
36,M,8,>99
37,M,8,>99
38,M,8,>99
39,M,8,>99
40,M,8,>99
41,M,8,>99
42,M,8,>99
43,M,8,>99
44,M,8,>99
45,M,8,>99
46,M,8,>99
47,M,8,>99
48,M,8,>99
49,M,8,>99
50,M,8,>99
51,M,8,>99
52,M,8,>99
53,M,8,>99
54,M,8,>99
55,M,8,>99
56,M,8,>99
57,M,8,>99
58,M,8,>99
59,M,8,>99
60,M,8,>99
61,M,8,>99
62,M,8,>99
63,M,8,>99
0,M,9,<5
1,M,9,<5
2,M,9,5
3,M,9,6
4,M,9,7
5,M,9,8
6,M,9,9
7,M,9,15
8,M,9,25
9,M,9,30
10,M,9,35
11,M,9,45
12,M,9,50
13,M,9,60
14,M,9,65
15,M,9,67.5
16,M,9,70
17,M,9,75
18,M,9,80
19,M,9,82.5
20,M,9,85
21,M,9,86.667
22,M,9,88.333
23,M,9,90
24,M,9,91.25
25,M,9,92.5
26,M,9,93.75
27,M,9,95
28,M,9,97.5
29,M,9,99
30,M,9,>99
31,M,9,>99
32,M,9,>99
33,M,9,>99
34,M,9,>99
35,M,9,>99
36,M,9,>99
37,M,9,>99
38,M,9,>99
39,M,9,>99
40,M,9,>99
41,M,9,>99
42,M,9,>99
43,M,9,>99
44,M,9,>99
45,M,9,>99
46,M,9,>99
47,M,9,>99
48,M,9,>99
49,M,9,>99
50,M,9,>99
51,M,9,>99
52,M,9,>99
53,M,9,>99
54,M,9,>99
55,M,9,>99
56,M,9,>99
57,M,9,>99
58,M,9,>99
59,M,9,>99
60,M,9,>99
61,M,9,>99
62,M,9,>99
63,M,9,>99
0,M,10,<5
1,M,10,<5
2,M,10,<5
3,M,10,5
4,M,10,5.833
5,M,10,6.667
6,M,10,7.5
7,M,10,8.333
8,M,10,9.167
9,M,10,15
10,M,10,20
11,M,10,25
12,M,10,30
13,M,10,35
14,M,10,45
15,M,10,50
16,M,10,55
17,M,10,60
18,M,10,65
19,M,10,67.5
20,M,10,70
21,M,10,75
22,M,10,80
23,M,10,82.5
24,M,10,85
25,M,10,86.25
26,M,10,87.5
27,M,10,88.75
28,M,10,90
29,M,10,91.25
30,M,10,92.5
31,M,10,93.75
32,M,10,95
33,M,10,96.667
34,M,10,98.333
35,M,10,99
36,M,10,>99
37,M,10,>99
38,M,10,>99
39,M,10,>99
40,M,10,>99
41,M,10,>99
42,M,10,>99
43,M,10,>99
44,M,10,>99
45,M,10,>99
46,M,10,>99
47,M,10,>99
48,M,10,>99
49,M,10,>99
50,M,10,>99
51,M,10,>99
52,M,10,>99
53,M,10,>99
54,M,10,>99
55,M,10,>99
56,M,10,>99
57,M,10,>99
58,M,10,>99
59,M,10,>99
60,M,10,>99
61,M,10,>99
62,M,10,>99
63,M,10,>99
0,M,11,<5
1,M,11,<5
2,M,11,<5
3,M,11,<5
4,M,11,5
5,M,11,5.714
6,M,11,6.429
7,M,11,7.143
8,M,11,7.857
9,M,11,8.571
10,M,11,9.286
11,M,11,10
12,M,11,15
13,M,11,17.5
14,M,11,25
15,M,11,30
16,M,11,35
17,M,11,40
18,M,11,45
19,M,11,50
20,M,11,55
21,M,11,60
22,M,11,62.5
23,M,11,65
24,M,11,70
25,M,11,75
26,M,11,80
27,M,11,81.667
28,M,11,83.333
29,M,11,85
30,M,11,86.25
31,M,11,87.5
32,M,11,88.75
33,M,11,90
34,M,11,91.25
35,M,11,92.5
36,M,11,93.75
37,M,11,95
38,M,11,96.667
39,M,11,98.333
40,M,11,99
41,M,11,>99
42,M,11,>99
43,M,11,>99
44,M,11,>99
45,M,11,>99
46,M,11,>99
47,M,11,>99
48,M,11,>99
49,M,11,>99
50,M,11,>99
51,M,11,>99
52,M,11,>99
53,M,11,>99
54,M,11,>99
55,M,11,>99
56,M,11,>99
57,M,11,>99
58,M,11,>99
59,M,11,>99
60,M,11,>99
61,M,11,>99
62,M,11,>99
63,M,11,>99
0,M,12,<5
1,M,12,<5
2,M,12,<5
3,M,12,<5
4,M,12,<5
5,M,12,<5
6,M,12,5
7,M,12,5.625
8,M,12,6.25
9,M,12,6.875
10,M,12,7.5
11,M,12,8.125
12,M,12,8.75
13,M,12,9.375
14,M,12,10
15,M,12,12.5
16,M,12,15
17,M,12,20
18,M,12,25
19,M,12,27.5
20,M,12,35
21,M,12,40
22,M,12,45
23,M,12,47.5
24,M,12,50
25,M,12,55
26,M,12,60
27,M,12,62.5
28,M,12,65
29,M,12,70
30,M,12,75
31,M,12,80
32,M,12,81.667
33,M,12,83.333
34,M,12,85
35,M,12,86.25
36,M,12,87.5
37,M,12,88.75
38,M,12,90
39,M,12,91.25
40,M,12,92.5
41,M,12,93.75
42,M,12,95
43,M,12,96.667
44,M,12,98.333
45,M,12,99
46,M,12,>99
47,M,12,>99
48,M,12,>99
49,M,12,>99
50,M,12,>99
51,M,12,>99
52,M,12,>99
53,M,12,>99
54,M,12,>99
55,M,12,>99
56,M,12,>99
57,M,12,>99
58,M,12,>99
59,M,12,>99
60,M,12,>99
61,M,12,>99
62,M,12,>99
63,M,12,>99
0,M,13,<5
1,M,13,<5
2,M,13,<5
3,M,13,<5
4,M,13,<5
5,M,13,<5
6,M,13,<5
7,M,13,5
8,M,13,5.455
9,M,13,5.909
10,M,13,6.364
11,M,13,6.818
12,M,13,7.273
13,M,13,7.727
14,M,13,8.182
15,M,13,8.636
16,M,13,9.091
17,M,13,9.545
18,M,13,10
19,M,13,12.5
20,M,13,15
21,M,13,17.5
22,M,13,20
23,M,13,25
24,M,13,30
25,M,13,35
26,M,13,40
27,M,13,45
28,M,13,47.5
29,M,13,50
30,M,13,55
31,M,13,60
32,M,13,62.5
33,M,13,65
34,M,13,70
35,M,13,75
36,M,13,80
37,M,13,81.667
38,M,13,83.333
39,M,13,85
40,M,13,86.25
41,M,13,87.5
42,M,13,88.75
43,M,13,90
44,M,13,91.667
45,M,13,93.333
46,M,13,95
47,M,13,96.667
48,M,13,98.333
49,M,13,99
50,M,13,>99
51,M,13,>99
52,M,13,>99
53,M,13,>99
54,M,13,>99
55,M,13,>99
56,M,13,>99
57,M,13,>99
58,M,13,>99
59,M,13,>99
60,M,13,>99
61,M,13,>99
62,M,13,>99
63,M,13,>99
0,M,14,<5
1,M,14,<5
2,M,14,<5
3,M,14,<5
4,M,14,<5
5,M,14,<5
6,M,14,<5
7,M,14,<5
8,M,14,<5
9,M,14,<5
10,M,14,5
11,M,14,5.417
12,M,14,5.833
13,M,14,6.25
14,M,14,6.667
15,M,14,7.083
16,M,14,7.5
17,M,14,7.917
18,M,14,8.333
19,M,14,8.75
20,M,14,9.167
21,M,14,9.583
22,M,14,10
23,M,14,11.667
24,M,14,13.333
25,M,14,15
26,M,14,17.5
27,M,14,25
28,M,14,27.5
29,M,14,30
30,M,14,35
31,M,14,40
32,M,14,45
33,M,14,47.5
34,M,14,50
35,M,14,55
36,M,14,60
37,M,14,62.5
38,M,14,65
39,M,14,75
40,M,14,77.5
41,M,14,80
42,M,14,81.667
43,M,14,83.333
44,M,14,85
45,M,14,86.667
46,M,14,88.333
47,M,14,90
48,M,14,91.667
49,M,14,93.333
50,M,14,95
51,M,14,96.667
52,M,14,98.333
53,M,14,99
54,M,14,>99
55,M,14,>99
56,M,14,>99
57,M,14,>99
58,M,14,>99
59,M,14,>99
60,M,14,>99
61,M,14,>99
62,M,14,>99
63,M,14,>99
0,M,15,<5
1,M,15,<5
2,M,15,<5
3,M,15,<5
4,M,15,<5
5,M,15,<5
6,M,15,<5
7,M,15,<5
8,M,15,<5
9,M,15,<5
10,M,15,<5
11,M,15,<5
12,M,15,5
13,M,15,5.357
14,M,15,5.714
15,M,15,6.071
16,M,15,6.429
17,M,15,6.786
18,M,15,7.143
19,M,15,7.5
20,M,15,7.857
21,M,15,8.214
22,M,15,8.571
23,M,15,8.929
24,M,15,9.286
25,M,15,9.643
26,M,15,10
27,M,15,11.25
28,M,15,12.5
29,M,15,13.75
30,M,15,15
31,M,15,17.5
32,M,15,20
33,M,15,25
34,M,15,30
35,M,15,35
36,M,15,40
37,M,15,45
38,M,15,47.5
39,M,15,50
40,M,15,55
41,M,15,60
42,M,15,62.5
43,M,15,65
44,M,15,75
45,M,15,80
46,M,15,81.667
47,M,15,83.333
48,M,15,85
49,M,15,86.667
50,M,15,88.333
51,M,15,90
52,M,15,92.5
53,M,15,95
54,M,15,96.667
55,M,15,98.333
56,M,15,99
57,M,15,>99
58,M,15,>99
59,M,15,>99
