mcdi_lgestures_raw,gender,age,mcdi_lgestures_inter_ptile
10,F,15,<5
11,F,15,<5
12,F,15,<5
13,F,15,5
14,F,15,6.25
15,F,15,7.5
16,F,15,8.75
17,F,15,10
18,F,15,12.5
19,F,15,15
20,F,15,17.5
21,F,15,20
22,F,15,21.667
23,F,15,23.333
24,F,15,25
25,F,15,30
26,F,15,35
27,F,15,45
28,F,15,47.5
29,F,15,50
30,F,15,55
31,F,15,65
32,F,15,70
33,F,15,75
34,F,15,80
35,F,15,85
36,F,15,87.5
37,F,15,90
38,F,15,92.5
39,F,15,95
40,F,15,96.667
41,F,15,98.333
42,F,15,99
43,F,15,>99
44,F,15,>99
45,F,15,>99
1,F,16,<5
2,F,16,<5
3,F,16,<5
4,F,16,<5
5,F,16,<5
6,F,16,<5
7,F,16,<5
8,F,16,<5
9,F,16,<5
10,F,16,<5
11,F,16,<5
12,F,16,<5
13,F,16,<5
14,F,16,<5
15,F,16,<5
16,F,16,<5
17,F,16,5
18,F,16,6
19,F,16,7
20,F,16,8
21,F,16,9
22,F,16,10
23,F,16,12.5
24,F,16,15
25,F,16,16.667
26,F,16,18.333
27,F,16,20
28,F,16,21.667
29,F,16,23.333
30,F,16,30
31,F,16,40
32,F,16,45
33,F,16,50
34,F,16,60
35,F,16,70
36,F,16,72.5
37,F,16,80
38,F,16,85
39,F,16,87.5
40,F,16,90
41,F,16,95
42,F,16,97.5
43,F,16,99
44,F,16,>99
45,F,16,>99
1,F,17,<5
2,F,17,<5
3,F,17,<5
4,F,17,<5
5,F,17,<5
6,F,17,<5
7,F,17,<5
8,F,17,<5
9,F,17,<5
10,F,17,<5
11,F,17,<5
12,F,17,<5
13,F,17,<5
14,F,17,<5
15,F,17,<5
16,F,17,<5
17,F,17,5
18,F,17,6
19,F,17,7
20,F,17,8
21,F,17,9
22,F,17,10
23,F,17,12.5
24,F,17,15
25,F,17,16.667
26,F,17,18.333
27,F,17,20
28,F,17,21.667
29,F,17,23.333
30,F,17,30
31,F,17,40
32,F,17,45
33,F,17,50
34,F,17,60
35,F,17,70
36,F,17,72.5
37,F,17,80
38,F,17,85
39,F,17,87.5
40,F,17,90
41,F,17,95
42,F,17,97.5
43,F,17,99
44,F,17,>99
45,F,17,>99
1,F,18,<5
2,F,18,<5
3,F,18,<5
4,F,18,<5
5,F,18,<5
6,F,18,<5
7,F,18,<5
8,F,18,<5
9,F,18,<5
10,F,18,<5
11,F,18,<5
12,F,18,<5
13,F,18,<5
14,F,18,<5
15,F,18,<5
16,F,18,<5
17,F,18,5
18,F,18,6
19,F,18,7
20,F,18,8
21,F,18,9
22,F,18,10
23,F,18,12.5
24,F,18,15
25,F,18,16.667
26,F,18,18.333
27,F,18,20
28,F,18,21.667
29,F,18,23.333
30,F,18,30
31,F,18,40
32,F,18,45
33,F,18,50
34,F,18,60
35,F,18,70
36,F,18,72.5
37,F,18,80
38,F,18,85
39,F,18,87.5
40,F,18,90
41,F,18,95
42,F,18,97.5
43,F,18,99
44,F,18,>99
45,F,18,>99
